#Epoch	Training Error	Testing Error
0	0.6436438578298999	0.627620007658691
1	0.5839982078854629	0.5935746887916248
2	0.5442700556914057	0.5703775017580375
3	0.5151697004084999	0.5518741066240107
4	0.4912702618380138	0.5345554563515471
5	0.4696027953820984	0.5170462746759911
6	0.44913485024572075	0.49950332656278285
7	0.42997790256489576	0.4827070348135823
8	0.4125039571091863	0.4672990643343414
9	0.39687876647957054	0.45353538210485844
10	0.38304484376918774	0.44139060526888096
11	0.37084444424715746	0.4307145890976421
12	0.36009938955936616	0.42132396706438396
13	0.35063723937920993	0.4130391168493232
14	0.34229640591598176	0.40569656099952556
15	0.3349278594069619	0.3991527354259927
16	0.32839700021663015	0.39328458224127333
17	0.32258502950724244	0.38798858806072856
18	0.3173892081248225	0.38317893275806264
19	0.31272205642209217	0.3787851956408697
20	0.3085098606328103	0.37474995101673425
21	0.30469086611643836	0.3710264748160991
22	0.301213436106988	0.36757668838059954
23	0.2980343419334317	0.36436939481462427
24	0.29511726412580813	0.3613788168269572
25	0.29243152766063973	0.3585834174071437
26	0.2899510623819579	0.35596497027588575
27	0.28765356361328953	0.3535078413034014
28	0.2855198219958176	0.351198441800799
29	0.28353319140362965	0.3490248175511059
30	0.2816791666520753	0.3469763421307387
31	0.2799450469136662	0.34504348841762966
32	0.2783196652518746	0.34321765747402727
33	0.2767931688896551	0.34149104878858233
34	0.2753568384563498	0.3398565599375738
35	0.2740029374061738	0.33830770701240975
36	0.27272458509321545	0.3368385596990581
37	0.27151564870409484	0.335443686783011
38	0.27037065049735826	0.3341181092119831
39	0.2692846876864769	0.3328572587981032
40	0.2682533629267972	0.33165694128797824
41	0.2672727238038072	0.3305133029591507
42	0.2663392100298888	0.3294228001816399
43	0.2654496072819749	0.32838217156230176
44	0.26460100678247844	0.32738841240224203
45	0.263790769859589	0.32643875126718064
46	0.2630164968325297	0.3255306285132865
47	0.2622759996597369	0.32466167663684925
48	0.261567277867302	0.3238297023317432
49	0.2608884973436988	0.32303267014803
50	0.2602379716461665	0.32226868765071426
51	0.2596141455150279	0.3215359919811384
52	0.2590155803354246	0.32083293772571186
53	0.25844094132218326	0.320157985998221
54	0.2578889862335583	0.3195096946432874
55	0.2573585554442554	0.3188867094699126
56	0.256848563228275	0.3182877564257306
57	0.2563579901185622	0.31771163462473323
58	0.25588587622398606	0.31715721014395815
59	0.25543131539551167	0.3166234105080058
60	0.25499345014315045	0.31610921978427436
61	0.2545714672138736	0.3156136742164181
62	0.25416459374850153	0.31513585832868735
63	0.25377209394290123	0.3146749014393287
64	0.2533932661457886	0.3142299745270197
65	0.2530274403321289	0.3138002874002047
66	0.25267397589758356	0.31338508612505156
67	0.2523322597256496	0.312983650673444
68	0.2520017044850442	0.31259529275783415
69	0.25168174712046426	0.3122193538248268
70	0.2513718475050392	0.31185520318399673
71	0.25107148722758044	0.3115022362526034
72	0.25078016849206597	0.31115987290055835
73	0.25049741311069257	0.3108275558832288
74	0.2502227615752602	0.3105047493524364
75	0.24995577219465806	0.31019093743837733
76	0.24969602028879256	0.30988562289717
77	0.2494430974314976	0.3095883258203998
78	0.24919661073678273	0.30929858240437963
